LGA,Tot_P_M,Tot_P_F,Tot_P_P
10050,23072,24738,47810
10110,11515,12590,24105
10150,20032,21182,41214
10200,38225,35513,73738
10250,18842,20432,39274
10300,1175,1108,2283
10350,89928,92424,182352
10470,19327,19192,38519
10550,15684,16266,31950
10600,6074,6444,12518
10650,4002,4064,8066
10750,149547,151552,301099
10800,2919,2946,5865
10850,3488,3497,6985
10900,36711,39231,75942
10950,1478,1422,2900
11000,1218,1191,2409
11050,1205,1194,2399
11100,19494,19862,39356
11150,1458,1410,2868
11200,884,882,1766
11250,9017,9500,18517
11300,15910,16513,32423
11350,14285,14924,29209
11400,6405,6416,12821
11450,27880,28840,56720
11500,71339,74628,145967
11520,36804,38959,75763
11550,68710,68744,137454
11600,1365,1222,2587
11700,1046,945,1991
11720,25257,25583,50840
11730,24515,25150,49665
11750,2461,2249,4710
11800,33201,35212,68413
11860,816,724,1540
12000,2006,2093,4099
12050,4901,4871,9772
12150,2030,2000,4030
12200,3553,3781,7334
12300,5486,5514,11000
12350,6055,6092,12147
12500,3453,3667,7120
12600,18728,20077,38805
12700,4188,4130,8318
12750,17578,18163,35741
12850,92521,95245,187766
12900,4548,4622,9170
12950,2106,2262,4368
13010,4285,4371,8656
13050,2430,2447,4877
13100,78326,84114,162440
13310,13881,13600,27481
13320,16860,17570,34430
13340,4959,4856,9815
13380,22658,23883,46541
13450,12236,12128,24364
13500,1871,1791,3662
13550,6033,6033,12066
13650,2204,2193,4397
13660,2512,2453,4965
13700,1777,1807,3584
13800,31056,31297,62353
13850,1478,1478,2956
13950,49104,50059,99163
14000,76457,80390,156847
14100,6538,6677,13215
14150,38227,40628,78855
14200,7898,8177,16075
14250,801,695,1496
14300,3339,2539,5878
14350,14111,14023,28134
14400,9791,10195,19986
14450,27247,28559,55806
14500,52259,57038,109297
14550,4642,4586,9228
14600,3247,3229,6476
14650,92311,96695,189006
14700,15258,16252,31510
14750,5437,5600,11037
14800,24729,27469,52198
14850,20904,21862,42766
14870,10290,9870,20160
14900,89323,90820,180143
14920,3771,3709,7480
14950,1526,1472,2998
15050,33005,34473,67478
15150,19408,20339,39747
15200,37836,38664,76500
15270,11284,11034,22318
15300,6828,6601,13429
15350,12820,14633,27453
15500,3493,3464,6957
15550,1194,1067,2261
15650,8163,7628,15791
15700,9093,9551,18644
15750,6479,6446,12925
15800,2919,2983,5902
15850,3293,3292,6585
15900,73152,75383,148535
15950,29667,32622,62289
16100,2658,2382,5040
16150,18580,19477,38057
16180,7194,7158,14352
16200,7193,7399,14592
16250,83560,83298,166858
16350,88089,90378,178467
16370,27912,29243,57155
16380,34935,37761,72696
16400,31907,32900,64807
16470,19036,18955,37991
16550,63367,65622,128989
16610,10905,11132,22037
16650,48108,49232,97340
16700,50060,52978,103038
16900,31158,32447,63605
16950,45712,47100,92812
17000,11648,11046,22694
17050,4013,3495,7508
17100,17659,17529,35188
