SED,Tot_P_M,Tot_P_F,Tot_P_P
10001,35306,36690,71996
10002,47273,44756,92029
10003,31874,34155,66029
10004,36032,39393,75425
10005,39947,40747,80694
10006,34284,33188,67472
10007,36953,36105,73058
10008,35551,36945,72496
10009,32914,34099,67013
10010,39215,39823,79038
10011,32633,35006,67639
10012,33146,33753,66899
10013,37337,38921,76258
10014,38938,40291,79229
10015,34163,35345,69508
10016,38472,40298,78770
10017,36031,37788,73819
10018,36830,37489,74319
10019,31145,32977,64122
10020,35391,36248,71639
10021,34223,36329,70552
10022,39557,41984,81541
10023,32460,33993,66453
10024,33148,35556,68704
10025,39574,41416,80990
10026,34928,36646,71574
10027,33152,34542,67694
10028,34138,36364,70502
10029,41532,42692,84224
10030,33964,36653,70617
10031,34354,35823,70177
10032,44494,43854,88348
10033,37997,37663,75660
10034,32770,33521,66291
10035,44722,41881,86603
10036,36316,37035,73351
10037,33251,34598,67849
10038,33787,35306,69093
10039,37695,39086,76781
10040,35235,38740,73975
10041,33057,34260,67317
10042,43142,42411,85553
10043,33180,35453,68633
10044,36029,37165,73194
10045,41335,42046,83381
10046,37040,37316,74356
10047,42257,43893,86150
10048,37054,38640,75694
10049,37170,38352,75522
10050,38472,38960,77432
10051,38534,39200,77734
10052,35390,35795,71185
10053,31432,33522,64954
10054,36797,36082,72879
10055,42079,43272,85351
10056,38028,38791,76819
10057,32744,32525,65269
10058,35557,34885,70442
10059,32852,34938,67790
10060,33756,34164,67920
10061,37026,40880,77906
10062,35430,36962,72392
10063,35417,37894,73311
10064,36422,36784,73206
10065,34113,34946,69059
10066,46513,45938,92451
10067,33383,35515,68898
10068,33184,34759,67943
10069,31896,34411,66307
10070,34336,35331,69667
10071,48322,48126,96448
10072,37000,37886,74886
10073,36875,38800,75675
10074,33549,34767,68316
10075,37089,37593,74682
10076,34274,35111,69385
10077,40723,41839,82562
10078,32820,34171,66991
10079,56691,50436,107127
10080,35066,36309,71375
10081,31877,34165,66042
10082,34224,37139,71363
10083,36995,37731,74726
10084,33869,36535,70404
10085,36862,35601,72463
10086,36741,39345,76086
10087,36058,37381,73439
10088,36043,37700,73743
10089,33531,35284,68815
10090,36997,40054,77051
10091,37664,38658,76322
10092,36923,36795,73718
10093,36681,39180,75861
19494,7592,5326,12918
19797,56,56,112
20106,37575,38025,75600
20207,48286,47325,95611
20308,28083,29350,57433
20408,30149,33205,63354
20502,38431,39670,78101
20601,25389,26402,51791
20708,28939,31050,59989
20804,24494,24823,49317
20904,26539,27088,53627
21004,27799,29502,57301
21104,28065,29556,57621
21206,27052,28395,55447
21301,27990,30481,58471
21406,26299,28965,55264
21503,31807,31967,63774
21603,30328,32180,62508
21701,22672,24068,46740
21803,26175,27612,53787
21906,28508,30922,59430
22005,29484,30886,60370
22106,27305,29045,56350
22205,30558,29312,59870
22305,40941,41855,82796
22405,30619,29612,60231
22507,34893,34801,69694
22601,23703,25671,49374
22701,25109,26611,51720
22807,27416,28970,56386
22902,27989,28452,56441
23001,31570,32322,63892
23107,35320,33680,69000
23201,24498,26221,50719
23305,25475,27151,52626
23408,26568,28375,54943
